Issue Type,Issue Key,Issue ID,Summary,Description,Epic Name,Epic Link,Status,Resolution,Priority,Assignee,Reporter,Story Points,Sprint,Components,Labels,Created,Updated,Resolved,Due Date,Comment,Comment,Comment,Comment
Epic,DRG-11,10011,Operator Dashboard,"The interface a network planner actually uses: demand and forecast, current
stress state, scenario comparison, SHAP drivers, and the replay view.

Scope: the Streamlit application, a shared chart theme, one page per question
the proposal asks, and a plain statement on every page of what the numbers
can and cannot tell you.",Operator Dashboard,,In Progress,,High,divya.maram,sabitha.lingala,,Sprint 1 (06 Jan - 17 Jan 2025),Dashboard,year2;dashboard,2025-01-02 09:40:00,2025-01-02 09:40:00,,,"2026-04-27 09:35:00;divya.maram;One chart theme before the first chart. Fixed colour per neighbourhood across every page, sequential ramps for magnitude only, and no dual axes - the same rules that stopped us shipping misleading charts elsewhere.",2026-09-07 11:40:00;divya.maram;Remaining: the sensitivity page and the operator runbook panel. Everything else has shipped.,,
Epic,DRG-12,10012,"MLOps: Registry, Gates and Promotion","Stop ""the model"" meaning whatever is in someone's artefacts folder.

Scope: a model registry with versioned artefacts and metrics, a promotion
gate with explicit thresholds, a model spec that travels with the artefact,
and a promotion pipeline that refuses to ship a model that has regressed.

The gate checks stress-alarm F1 as well as error, because a model can improve
MAE while getting worse at the thing the platform exists to detect.",MLOps,,In Progress,,High,devendranath.singam,sabitha.lingala,,Sprint 1 (06 Jan - 17 Jan 2025),MLOps,year2;mlops,2025-01-02 09:42:00,2025-01-02 09:42:00,,,"2026-06-01 10:30:00;devendranath.singam;The gate is not a formality. It should have teeth, and it should occasionally stop us shipping something we were pleased with.","2026-07-13 14:15:00;geetha.nallamada;It already has - DRG-107 was a model with better MAE and worse stress F1, which is precisely the trade the gate exists to catch.",,
Epic,DRG-13,10013,Azure Deployment and Infrastructure,"Everything runs on laptops. There is no shared environment, no scheduled
retrain and no way for a stakeholder to see the system without one of us
running it.

Scope: Bicep for the Azure footprint - storage, container registry, key
vault, monitoring, Container Apps and an Azure ML workspace; AML training
jobs and managed online endpoints; and deployment scripts for both shells.",Azure Infrastructure,,In Progress,,High,devendranath.singam,sabitha.lingala,,Sprint 1 (06 Jan - 17 Jan 2025),Infrastructure,year2;azure,2025-01-02 09:44:00,2025-01-02 09:44:00,,,2026-06-22 09:50:00;devendranath.singam;Bicep rather than Terraform here because the whole target estate is Azure and the ML workspace is the awkward part - the first-party templates are simply better maintained for AML.,2026-09-04 15:20:00;devendranath.singam;Infrastructure deploys clean. The managed endpoint and the scheduled retrain are the two blocks left.,,
Epic,DRG-14,10014,Engineering Practice and CI/CD,"The habits that keep a research codebase usable: one command to run
everything, a real test suite, lint and format on every push, and a build
that fails when the pipeline does.

Scope: the CLI, the orchestrated end-to-end pipeline, GitHub Actions for CI
and for model and infrastructure deployment, containerisation, and the
developer setup scripts.",Engineering Practice,,Done,Done,High,devendranath.singam,sabitha.lingala,,Sprint 1 (06 Jan - 17 Jan 2025),Platform;CI,foundation;ci,2025-01-02 09:46:00,2026-07-31 16:20:00,2026-07-31 16:20:00,,"2025-01-13 11:20:00;devendranath.singam;run-all exists from week two, not from month twelve. If the full pipeline is not runnable in one command early, every stage after it gets built against a slightly different idea of what came before.","2026-07-31 16:15:00;devendranath.singam;Closed. CI runs the full pipeline on synthetic data on every push, in about seven minutes.",,
Epic,DRG-15,10015,Documentation and Data Governance,"What the system does, what it does not do, and what may be done with the data.

Scope: the architecture document, the business requirements document, the
README as the front door, the modelling notes, and the governance position on
the licensed dataset - what is redistributable, what is not, and why the
synthetic path exists.",Docs & Governance,,In Progress,,Medium,geetha.nallamada,sabitha.lingala,,Sprint 1 (06 Jan - 17 Jan 2025),Docs,docs;governance,2025-01-02 09:48:00,2025-01-02 09:48:00,,,"2025-02-24 10:10:00;geetha.nallamada;The non-goals section is the most important part of the architecture document. DRG does no power-flow modelling, and if that is not stated plainly on page one somebody will eventually present it as if it did.",2026-09-08 10:25:00;amit.shinde;Picking up the business requirements refresh. The original BRD predates about half of what has been built.,,
Epic,DRG-16,10016,Delivery Management and Governance,"Running the project: sprint ceremonies, the RAID log, stakeholder reporting,
onboarding, and the dependency and risk tracking that keeps a twenty-month
programme from drifting.

Owned by the project coordinator, and deliberately a real epic rather than
invisible overhead - the risks it tracks have changed delivery decisions.",Delivery Management,,In Progress,,Medium,sabitha.lingala,sabitha.lingala,,Sprint 1 (06 Jan - 17 Jan 2025),Governance,delivery;governance,2025-01-02 09:50:00,2025-01-02 09:50:00,,,"2025-01-02 10:05:00;sabitha.lingala;Cadence agreed: two-week sprints from Monday 6 January, planning on the first Monday, review and retro on the second Friday, written standups daily. Monthly stakeholder report on the first working day of the month.","2025-01-02 10:15:00;sabitha.lingala;RAID log is open. First entry is the LCL licence - we do not yet know whether we can redistribute any of it, and a lot depends on the answer.","2026-09-08 09:20:00;sabitha.lingala;Twenty months in. 43 sprints, six people, three of whom joined mid-flight. The onboarding pattern from DRG-99 and DRG-115 is now our standard.",
Epic,DRG-17,10017,Quality Engineering and Test Automation,"Cut in June 2026 when the QA analyst joined.

Scope: a written test strategy per layer, regression packs for data,
features, models, stress, simulation and the API, dashboard smoke tests,
CI gating, and the UAT process with the stakeholder groups.

The premise, from the gap analysis in DRG-99: almost every defect on this
project has been silent - a plausible wrong number rather than a crash - so
coverage is about assertions between stages, not about counting tests.",Quality Engineering,,In Progress,,High,neha.chauhan,sabitha.lingala,,Sprint 38 (08 Jun - 19 Jun 2026),Quality,qa;testing,2026-06-15 14:00:00,2026-06-15 14:00:00,,,"2026-06-15 14:20:00;sabitha.lingala;Cut this the day Neha started rather than folding QA work into other epics, so the coverage gap is visible on the board instead of being everyone's second priority.","2026-06-26 16:10:00;neha.chauhan;First pass of the gap analysis is in. Three areas with no coverage at all: the simulation, the API contract, and anything asserting that a model artefact matches the spec it claims.","2026-09-08 15:40:00;neha.chauhan;Data, features, models and stress now have regression packs. Simulation is in progress, UAT starts next sprint.",
Epic,DRG-18,10018,Business Analysis and Stakeholder Enablement,"Cut in August 2026, ahead of the BA joining on 24 Aug.

Scope: refreshing the business requirements against what was actually built,
requirements traceability from the BRD through to modules and dashboard
views, the stakeholder-facing glossary, and UAT facilitation with the network
planning teams.

Why it exists late: for twenty months the modelling lead and the coordinator
carried the stakeholder relationship between them. That stopped scaling once
DNO planners, the sustainability team and the academic partner all wanted
different cuts of the same results.",Business Analysis,,In Progress,,Medium,sabitha.lingala,sabitha.lingala,,Sprint 43 (17 Aug - 28 Aug 2026),Docs;Governance,ba;stakeholders,2026-08-17 11:00:00,2026-08-17 11:00:00,,,2026-08-17 11:15:00;sabitha.lingala;Creating this a week early so there is a real backlog on day one. Amit starts 24 Aug.,2026-08-25 10:40:00;amit.shinde;First read of the BRD against the repository. The gap is not that things are missing - it is that the document describes an ambition and the code has since answered it more precisely. The refresh is mostly replacing intentions with findings.,,
Task,DRG-19,10019,"Project kickoff, ways of working and the RAID log","Agree how the project runs before it starts running.

* two-week sprints from Mon 06 Jan; planning first Monday, review and retro
  second Friday, written standups daily
* definition of done: merged, tested, runnable from the CLI, documented
* RAID log opened and reviewed at every planning session
* monthly stakeholder report on the first working day of the month",,DRG-16,Done,Done,Medium,sabitha.lingala,sabitha.lingala,2,Sprint 1 (06 Jan - 17 Jan 2025),Governance,kickoff,2025-01-02 09:15:00,2025-01-09 15:20:00,2025-01-09 15:20:00,,"2025-01-02 10:20:00;sabitha.lingala;Definition of done includes 'runnable from the CLI'. On a twenty-month research project the failure mode is a pile of notebooks nobody else can execute, and the cheapest defence is to make runnability part of done from day one.","2025-01-06 11:30:00;devendranath.singam;Strongly agree. I would add that it has to run without the licensed dataset, otherwise 'runnable' means runnable by whoever has the data.","2025-01-09 15:15:00;sabitha.lingala;Both in. RAID log open with three initial risks: the LCL licence, PyTorch on Windows, and single points of knowledge across a small team.",
Story,DRG-20,10020,Repository scaffold and packaging,"As an engineer
I want a src-layout package that installs cleanly
So that imports behave the same in tests, CLI and notebooks.

* src/drg with analysis, data, features, models, stress, simulation, explain,
  streaming, api, dashboard, mlops, utils
* pyproject.toml, editable install, console entry point
* artifacts/ and data/ gitignored with their structure documented",,DRG-14,Done,Done,Medium,devendranath.singam,sabitha.lingala,3,Sprint 1 (06 Jan - 17 Jan 2025),Platform,setup,2025-01-06 09:20:00,2025-01-10 14:40:00,2025-01-10 14:40:00,,2025-01-07 10:15:00;devendranath.singam;src layout rather than a flat package. It costs one line in pyproject and it means a test can never accidentally import the working directory instead of the installed package - which is how you get a green suite against code that would not ship.,2025-01-10 14:35:00;divya.maram;Verified from a clean venv on Windows and Linux.,,
Task,DRG-21,10021,"Split dependencies into core, deep, azure and dev tiers","Keep the base install small enough that a reviewer can run the project.

* requirements.txt - everything needed for run-all
* requirements-deep.txt - PyTorch, optional
* requirements-azure.txt - Azure SDKs, MLflow, optional
* requirements-dev.txt - pytest, ruff, black
* README states which tier is needed for which command",,DRG-14,Done,Done,Medium,devendranath.singam,sabitha.lingala,2,Sprint 1 (06 Jan - 17 Jan 2025),Platform,setup,2025-01-06 09:25:00,2025-01-14 11:20:00,2025-01-14 11:20:00,,"2025-01-13 10:40:00;devendranath.singam;Torch is deliberately not in the base install. It is a large download, it is optional to the argument the project is making, and on Windows it needs a system runtime we cannot assume - which is already RAID risk 2 and will bite us later.",,,
Story,DRG-22,10022,Low Carbon London smart-meter loader,"As the platform
I want the LCL half-hourly household dataset loaded into a canonical frame
So that every downstream stage sees the same shape regardless of source.

* household id, timestamp, kWh, tariff group, neighbourhood
* half-hourly index validated: no duplicates, no gaps within a household
* memory-conscious chunked read; the raw files are large
* canonical schema documented, and the synthetic generator must match it",,DRG-1,Done,Done,Medium,divya.maram,sabitha.lingala,8,Sprint 1 (06 Jan - 17 Jan 2025),Data,ingestion;lcl,2025-01-06 09:30:00,2025-01-17 16:10:00,2025-01-17 16:10:00,,"2025-01-08 11:20:00;divya.maram;Defining the canonical frame first and making both the LCL loader and the synthetic generator targets of it, rather than letting the real loader define the shape and retrofitting synthetic to match. Otherwise the synthetic path is permanently second class.","2025-01-15 09:50:00;geetha.nallamada;That is the right call. The moment the two diverge, every result becomes 'which loader produced this?'","2025-01-17 16:05:00;divya.maram;Loaded and validated. It found real gaps in the source, which is DRG-37's problem rather than the loader's - it reports them and does not paper over them.",
Task,DRG-23,10023,Review the LCL licence and what may be redistributed,"RAID risk 1. Establish what we can commit, publish and ship.

Question to answer: can any of the licensed dataset live in the repository,
in CI, or in a stakeholder demo?

Outcome required either way: a written position in the governance section,
and a plan that does not depend on a favourable answer.",,DRG-15,Done,Done,Medium,sabitha.lingala,sabitha.lingala,2,Sprint 1 (06 Jan - 17 Jan 2025),Governance,raid;licence,2025-01-06 09:35:00,2025-01-31 15:40:00,2025-01-31 15:40:00,,2025-01-20 14:20:00;sabitha.lingala;Chasing this. Flagging early that the answer being 'no' is the likely case and we should not plan as if it will be 'yes'.,"2025-01-31 15:30:00;sabitha.lingala;Answer: no redistribution, no committing extracts, no shipping it in a container. Derived aggregate statistics are fine. So the synthetic generator is not a convenience - it is the only way this project is demonstrable, and DRG-24 moves up the plan accordingly.","2025-01-31 16:05:00;geetha.nallamada;That is a better outcome than it sounds. It forces the synthetic path to be first class, which means every reviewer, every CI run and every new joiner exercises the same route.",
Story,DRG-24,10024,Calibrated synthetic smart-meter generator,"As anyone without the licensed dataset
I want a generator that produces realistic half-hourly household demand
So that the entire pipeline runs end to end with no data and no API key.

* daily double-peak shape, weekday/weekend difference, seasonal amplitude
* household heterogeneity - base load and peak behaviour vary per household
* calibrated against LCL aggregate statistics, not invented
* seeded and reproducible; the same seed gives the same dataset
* emits the canonical frame from DRG-22",,DRG-1,Done,Done,Highest,divya.maram,sabitha.lingala,8,Sprint 2 (20 Jan - 31 Jan 2025),Data,synthetic;foundation,2025-01-20 09:20:00,2025-01-31 16:30:00,2025-01-31 16:30:00,,"2025-01-21 10:30:00;divya.maram;Calibrated means the summary statistics match: mean and spread of household daily consumption, the morning and evening peak ratio, the weekday to weekend difference, and the winter to summer amplitude. Those come out of the LCL analysis and go in as targets.","2025-01-27 15:15:00;geetha.nallamada;Checked the output against the LCL aggregates I have. Load shapes overlay well and the household spread is right. It will not fool anyone into thinking it is real data, and it does not need to - it needs to exercise the same code paths and produce conclusions of the same shape.","2025-01-31 16:25:00;divya.maram;Done. Full run on synthetic takes about four minutes on a laptop, which keeps CI viable.",
Story,DRG-25,10025,CLI and the run-all pipeline,"As anyone
I want one command that runs ingest, EDA, features, train, stress, scenarios
and SHAP
So that the project is reproducible rather than a sequence of remembered steps.

* python -m drg.cli run-all, and each stage individually
* stages read and write the documented data contract, not each other's memory
* a failed stage stops the run and names itself
* run report written to artifacts/reports/run_report.json",,DRG-14,Done,Done,Medium,devendranath.singam,sabitha.lingala,5,Sprint 2 (20 Jan - 31 Jan 2025),Platform,cli;pipeline,2025-01-20 09:25:00,2025-02-04 15:50:00,2025-02-04 15:50:00,,"2025-01-22 11:40:00;devendranath.singam;Building run-all now, in week three, when there are two stages to orchestrate. Doing it at the end means every stage gets built against a slightly different idea of what the previous one produced, and the integration is then a project of its own.",2025-02-04 15:45:00;geetha.nallamada;Accepted. The run report is the part I did not expect to value as much as I do - every headline number in the README regenerates from it.,,
Story,DRG-26,10026,"Configuration, IO and logging utilities","As the codebase
I want one config object, one IO helper and one logger setup
So that paths, seeds and parameters are not redefined in nine modules.

* configs/config.yaml as the single source of tunable parameters
* typed access, with defaults and validation at load
* IO helpers that create parent directories and record what was written
* structured logging with a consistent stage prefix",,DRG-1,Done,Done,Medium,devendranath.singam,sabitha.lingala,3,Sprint 2 (20 Jan - 31 Jan 2025),Platform,setup,2025-01-20 09:30:00,2025-01-30 14:20:00,2025-01-30 14:20:00,,"2025-01-28 09:45:00;devendranath.singam;The stress percentile, the adoption rates, the split dates and the seed all live in config.yaml. Anything a reviewer might reasonably want to change should not require reading source.",,,
Bug,DRG-27,10027,Half-hourly index breaks at the British Summer Time change,"Observed: the loader reports duplicate timestamps on the last Sunday in
October and missing ones on the last Sunday in March, for every household.

Impact: two corrupt days per year in every series. Small in volume, and
exactly the kind of thing that silently distorts a daily-profile average and
then propagates into every lag feature built on it.

Cause: timestamps parsed as naive local time. At the autumn change 01:00-02:00
occurs twice; at the spring change it does not occur at all.

Fix: parse as UTC, carry a separate local-time column for the calendar
features that genuinely need local hour. Add a check asserting exactly 48
half-hours per household per UTC day.",,DRG-1,Done,Done,High,divya.maram,geetha.nallamada,3,Sprint 2 (20 Jan - 31 Jan 2025),Data,timezone;data-quality,2025-01-27 11:15:00,2025-02-03 12:40:00,2025-02-03 12:40:00,,2025-01-27 11:30:00;geetha.nallamada;Found it plotting a daily profile that had a step in it on exactly two days of the year. Worth saying out loud that this is the single most common bug in UK half-hourly energy data and it will not be the last time it costs us an afternoon.,2025-01-29 10:20:00;divya.maram;Confirmed. Modelling in UTC and deriving local hour for the calendar features. The alternative - keeping everything local - means the index is not monotonic twice a year and every rolling window quietly misbehaves around it.,"2025-02-03 12:35:00;divya.maram;Fixed, with the 48-per-day assertion. It now also catches genuinely missing meter reads, which is how DRG-37 got found.",
Story,DRG-28,10028,The raw to interim to processed data contract,"As the pipeline
I want each stage to read and write a documented location and schema
So that stages can be run, re-run and tested independently.

* data/raw untouched; data/interim cleaned and typed; data/processed model-ready
* schema documented per layer, including units and timezone
* every processed artefact stamped with the config hash and generator seed",,DRG-1,Done,Done,Medium,divya.maram,sabitha.lingala,5,Sprint 3 (03 Feb - 14 Feb 2025),Data,contract,2025-02-03 09:20:00,2025-02-13 15:10:00,2025-02-13 15:10:00,,2025-02-05 10:30:00;divya.maram;The config hash on every artefact is what stops the classic research failure: a figure in a report that nobody can regenerate because the parameters have moved since.,2025-02-13 15:05:00;sabitha.lingala;Noting this in the RAID log as closing the reproducibility risk. It was the one I was most worried about.,,
Story,DRG-29,10029,Neighbourhood aggregation from household meters,"As the analysis
I want household reads aggregated to neighbourhood half-hourly demand
So that stress and forecasting operate at the level a planner cares about.

* four neighbourhoods, roughly 120 households each
* aggregation handles partial households explicitly - a neighbourhood total
  built from a varying household count is not comparable over time
* household count per half-hour retained alongside the total",,DRG-1,Done,Done,Medium,divya.maram,sabitha.lingala,5,Sprint 3 (03 Feb - 14 Feb 2025),Data,aggregation,2025-02-03 09:25:00,2025-02-14 16:00:00,2025-02-14 16:00:00,,"2025-02-07 11:20:00;divya.maram;Keeping the contributing household count is the important bit. Without it, a neighbourhood whose meters drop out for a week looks like a neighbourhood whose demand fell, and that is indistinguishable in the aggregate.","2025-02-14 15:55:00;geetha.nallamada;Agreed, and it means we can normalise per household when comparing sites of different sizes.",,
Task,DRG-30,10030,CI on every push,"* .github/workflows/ci.yml: lint, format check, tests, and a full run-all on
  synthetic data
* under ten minutes
* red build blocks merge
* no licensed data and no API keys required, per DRG-23",,DRG-14,Done,Done,Medium,devendranath.singam,sabitha.lingala,5,Sprint 3 (03 Feb - 14 Feb 2025),CI,ci,2025-02-03 09:30:00,2025-02-14 15:20:00,2025-02-14 15:20:00,,2025-02-12 14:10:00;devendranath.singam;Running the whole pipeline in CI rather than only unit tests. It costs four minutes and it is the only thing that proves the stages still fit together.,2025-02-14 15:15:00;divya.maram;First green run caught a stage that only worked because I had a stale interim file locally.,,
Task,DRG-31,10031,"Architecture document, with the non-goals stated first","Write docs/ARCHITECTURE.md covering the stage pipeline, the data contract,
the module boundaries and the deployment target.

Non-goals, stated explicitly and early:
* no physical power-flow or load-flow modelling
* no network topology, no transformer ratings, no voltage analysis
* stress is statistical and relative to a site's own history, not a capacity
  breach

DRG is a demand-side scenario tool. Someone will eventually present it as
more than that unless the boundary is written down where they will see it.",,DRG-15,Done,Done,Medium,geetha.nallamada,sabitha.lingala,3,Sprint 3 (03 Feb - 14 Feb 2025),Docs,architecture;docs,2025-02-04 09:15:00,2025-02-24 14:30:00,2025-02-24 14:30:00,,"2025-02-24 14:25:00;geetha.nallamada;Non-goals are section two, ahead of the architecture itself. The single biggest reputational risk on a project like this is someone in a planning meeting believing we modelled the network.","2025-02-25 09:40:00;sabitha.lingala;Adding that to the RAID log as a live risk with the document as its mitigation, so it stays visible rather than being considered handled.",,
